Episode,Reward,Steps,Success,Noise
0,-2007.5929,200,True,0.29985
1,-660.49316,88,True,0.299700075
2,-2239.9329,200,True,0.2995502249625
3,-2278.8472,200,True,0.2994004498500188
4,-324.59906,46,True,0.2992507496250938
5,125.33879,7,True,0.29910112425028124
6,123.2946,7,True,0.2989515736881561
7,127.42665,7,True,0.29880209790131207
8,-138.40523,30,True,0.29865269685236145
9,59.20249,14,True,0.2985033705039353
10,108.61277,9,True,0.29835411881868334
11,141.34764,6,True,0.29820494175927403
12,117.638916,8,True,0.2980558392883944
13,117.682816,8,True,0.29790681136875025
14,96.043365,10,True,0.29775785796306586
15,104.59465,9,True,0.29760897903408434
16,106.34105,9,True,0.2974601745445673
17,72.7995,12,True,0.297311444457295
18,97.72232,10,True,0.2971627887350664
19,86.44272,11,True,0.2970142073406989
20,69.87648,13,True,0.2968657002370286
21,97.21867,10,True,0.29671726738691007
22,76.02879,12,True,0.2965689087532166
23,55.589485,14,True,0.29642062429884003
24,76.47194,12,True,0.29627241398669063
25,117.20906,8,True,0.2961242777796973
26,95.839066,10,True,0.29597621564080745
27,116.126434,8,True,0.29582822753298704
28,94.17753,10,True,0.2956803134192206
29,107.35551,9,True,0.295532473262511
30,107.50581,9,True,0.2953847070258797
31,104.92441,9,True,0.2952370146723668
32,106.46767,9,True,0.2950893961650306
33,78.28551,12,True,0.2949418514669481
34,88.81531,11,True,0.29479438054121465
35,95.627396,10,True,0.2946469833509441
36,95.53076,10,True,0.2944996598592686
37,94.75198,11,True,0.294352410029339
38,54.726517,14,True,0.29420523382432434
39,73.00421,12,True,0.2940581312074122
40,91.14137,10,True,0.2939111021418085
41,73.667076,12,True,0.2937641465907376
42,75.41295,12,True,0.29361726451744224
43,73.8786,12,True,0.29347045588518356
44,77.3667,12,True,0.293323720657241
45,72.10599,12,True,0.2931770587969124
46,128.44273,7,True,0.293030470267514
47,77.26428,12,True,0.29288395503238024
48,125.36781,7,True,0.29273751305486406
49,56.044334,14,True,0.29259114429833666
50,53.182312,14,True,0.2924448487261875
51,123.38495,7,True,0.2922986263018244
52,126.48194,7,True,0.2921524769886735
53,127.87868,7,True,0.2920064007501792
54,64.67763,13,True,0.29186039754980414
55,127.84621,7,True,0.29171446735102924
56,130.43674,7,True,0.29156861011735374
57,67.19981,13,True,0.29142282581229506
58,138.66626,6,True,0.2912771143993889
59,51.953827,14,True,0.29113147584218924
60,140.22498,6,True,0.29098591010426816
61,137.69838,6,True,0.29084041714921605
62,141.32487,6,True,0.29069499694064144
63,137.41655,6,True,0.29054964944217115
64,134.65535,6,True,0.2904043746174501
65,118.19563,8,True,0.2902591724301414
66,127.77841,7,True,0.29011404284392633
67,140.52763,6,True,0.2899689858225044
68,140.68501,6,True,0.2898240013295932
69,136.70288,6,True,0.2896790893289284
70,129.7471,7,True,0.28953424978426395
71,136.69373,6,True,0.2893894826593718
72,129.08284,7,True,0.28924478791804215
73,140.94867,6,True,0.28910016552408313
74,63.20082,13,True,0.2889556154413211
75,140.72176,6,True,0.28881113763360045
76,137.53235,6,True,0.28866673206478366
77,137.79787,6,True,0.2885223986987513
78,140.9107,6,True,0.28837813749940194
79,65.54346,13,True,0.28823394843065225
80,140.31068,6,True,0.28808983145643696
