Episode,Reward,Steps,Success,Noise
81,140.98134,6,True,0.28794578654070874
82,14.806641,18,True,0.2878018136474384
83,87.879074,11,True,0.2876579127406147
84,86.32992,11,True,0.2875140837842444
85,115.65135,8,True,0.2873703267423523
86,58.076508,14,True,0.28722664157898115
87,127.962326,7,True,0.28708302825819165
88,138.8063,6,True,0.28693948674406256
89,136.6467,6,True,0.2867960170006905
90,133.9568,6,True,0.2866526189921902
91,115.5303,8,True,0.2865092926826941
92,136.04759,6,True,0.28636603803635274
93,124.618256,7,True,0.2862228550173346
94,123.56833,7,True,0.2860797435898259
95,124.86773,7,True,0.28593670371803104
96,128.02856,7,True,0.28579373536617203
97,132.48338,6,True,0.28565083849848893
98,135.73605,6,True,0.28550801307923973
99,133.57964,6,True,0.2853652590727001
100,134.28078,6,True,0.2852225764431638
101,135.11385,6,True,0.2850799651549422
102,135.77393,6,True,0.28493742517236476
103,132.78343,6,True,0.2847949564597786
104,134.52855,6,True,0.28465255898154873
105,133.74205,6,True,0.284510232702058
106,132.9813,6,True,0.284367977585707
107,134.75938,6,True,0.28422579359691413
108,134.59357,6,True,0.2840836807001157
109,133.19556,6,True,0.28394163885976564
110,134.54286,6,True,0.2837996680403358
111,137.40637,6,True,0.28365776820631566
112,134.608,6,True,0.28351593932221253
113,136.97067,6,True,0.28337418135255144
114,135.96237,6,True,0.2832324942618752
115,134.94308,6,True,0.28309087801474425
116,135.0696,6,True,0.2829493325757369
117,134.6776,6,True,0.28280785790944907
118,134.06126,6,True,0.28266645398049434
119,134.8918,6,True,0.2825251207535041
120,133.47551,6,True,0.2823838581931274
121,123.24575,7,True,0.28224266626403083
122,122.9406,7,True,0.28210154493089884
123,136.98318,6,True,0.2819604941584334
124,-273.28137,45,True,0.2818195139113542
125,49.933548,14,True,0.2816786041543985
126,72.274734,12,True,0.2815377648523213
127,64.697495,13,True,0.28139699596989515
128,127.990906,7,True,0.2812562974719102
129,-603.9556,81,True,0.2811156693231743
130,-85.54451,27,True,0.28097511148851273
131,126.63349,7,True,0.2808346239327685
132,-467.7301,64,True,0.28069420662080213
133,42.775322,15,True,0.28055385951749173
134,-2070.435,200,True,0.280413582587733
135,-2065.216,200,True,0.2802733757964392
136,119.82793,8,True,0.280133239108541
137,64.73859,13,True,0.27999317248898675
138,-39.26439,23,True,0.2798531759027423
139,118.36224,8,True,0.2797132493147909
140,-253.01028,44,True,0.27957339269013354
141,-1177.4618,140,True,0.27943360599378847
142,103.150955,9,True,0.27929388919079157
143,115.569885,8,True,0.27915424224619617
144,-222.91351,40,True,0.2790146651250731
145,93.64418,10,True,0.2788751577925106
146,-252.78929,43,True,0.27873572021361437
147,-2074.903,200,True,0.2785963523535076
148,-2071.692,200,True,0.27845705417733085
149,-304.19925,48,True,0.2783178256502422
150,-43.083588,24,True,0.2781786667374171
151,117.21075,8,True,0.2780395774040484
152,140.55464,6,True,0.2779005576153464
153,137.36983,6,True,0.2777616073365387
154,136.89285,6,True,0.27762272653287046
155,137.4594,6,True,0.277483915169604
156,127.498535,7,True,0.27734517321201924
157,137.2862,6,True,0.27720650062541324
158,136.80243,6,True,0.27706789737510057
159,13.098602,18,True,0.27692936342641306
160,139.17947,6,True,0.27679089874469986
161,126.221115,7,True,0.27665250329532753
162,133.90895,6,True,0.27651417704367987
163,128.60916,7,True,0.27637591995515803
164,138.42998,6,True,0.2762377319951805
165,137.88431,6,True,0.2760996131291829
166,137.23775,6,True,0.27596156332261834
167,140.73894,6,True,0.27582358254095707
168,137.39297,6,True,0.2756856707496866
169,127.29406,7,True,0.27554782791431176
170,137.54784,6,True,0.2754100540003546
171,-1782.436,200,True,0.27527234897335445
172,-1907.4574,200,True,0.2751347127988678
173,-815.4913,109,True,0.2749971454424684
174,-147.07425,38,True,0.2748596468697472
175,-2037.6259,200,True,0.27472221704631233
176,-1989.778,200,True,0.2745848559377892
177,-1997.3466,200,True,0.2744475635098203
178,-1869.0907,200,True,0.2743103397280654
179,-1706.6226,200,True,0.2741731845582014
180,-1869.382,200,True,0.2740360979659223
181,-1752.3824,200,True,0.27389907991693935
182,-1885.4973,200,True,0.2737621303769809
183,-2063.0889,200,True,0.2736252493117924
184,-2052.0205,200,True,0.2734884366871365
185,-1663.0068,200,True,0.273351692468793
186,-2048.7766,200,True,0.2732150166225586
187,-1727.9629,200,True,0.27307840911424736
188,-1866.7201,200,True,0.27294186990969027
189,-59.290573,28,True,0.27280539897473544
190,-2036.278,200,True,0.2726689962752481
191,-19.176697,22,True,0.2725326617771105
192,-190.29524,41,True,0.27239639544622196
193,-238.46236,46,True,0.27226019724849887
194,-2025.3815,200,True,0.27212406714987464
195,-807.87915,103,True,0.2719880051162997
196,-104.94278,31,True,0.2718520111137416
197,-185.74593,42,True,0.27171608510818474
198,-113.0479,33,True,0.2715802270656307
199,-29.95964,22,True,0.27144443695209786
200,-117.060745,34,True,0.27130871473362184
201,-1996.1223,200,True,0.27117306037625505
202,-342.50888,59,True,0.2710374738460669
203,-2020.134,200,True,0.2709019551091439
204,-2023.7665,200,True,0.2707665041315893
205,-1946.4065,200,True,0.2706311208795235
206,-1899.8179,200,True,0.2704958053190838
